FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,276 -> 275,4,4000,16000
2,276 -> 275,4,4000,16000
3,276 -> 275,4,4000,16000
4,276 -> 275,4,4000,16000
5,276 -> 275,4,4000,16000
6,276 -> 275,4,4000,16000
7,276 -> 275,4,4000,16000
8,276 -> 275,4,4000,16000
9,276 -> 275,4,4000,16000
10,276 -> 275,4,4000,16000
11,276 -> 275,4,4000,16000
12,276 -> 275,4,4000,16000
13,276 -> 275,4,4000,16000
14,276 -> 275,4,4000,16000
15,276 -> 275,4,4000,16000
16,276 -> 275,4,4000,16000
17,276 -> 275,4,4000,16000
18,276 -> 275,5,0,20000
19,276 -> 275,5,0,20000
20,276 -> 275,4,4000,16000
21,276 -> 275,4,4000,16000
22,276 -> 275,4,4000,16000
23,276 -> 275,4,4000,16000
24,276 -> 275,4,4000,16000
25,277 -> 276,4,4000,16000
26,277 -> 276,4,4000,16000
27,277 -> 276,4,4000,16000
28,277 -> 276,4,4000,16000
29,277 -> 276,4,4000,16000
30,277 -> 276,4,4000,16000
31,277 -> 276,4,4000,16000
32,277 -> 276,4,4000,16000
33,277 -> 276,4,4000,16000
34,277 -> 276,4,4000,16000
35,277 -> 276,4,4000,16000
36,277 -> 276,4,4000,16000
37,277 -> 276,4,4000,16000
38,277 -> 276,4,4000,16000
39,277 -> 276,4,4000,16000
40,277 -> 276,4,4000,16000
41,277 -> 276,4,4000,16000
42,277 -> 276,4,4000,16000
43,277 -> 276,4,4000,16000
44,277 -> 276,5,0,20000
45,277 -> 276,5,0,20000
46,277 -> 276,4,4000,16000
47,277 -> 276,4,4000,16000
48,277 -> 276,4,4000,16000
49,277 -> 276,4,4000,16000
50,277 -> 276,4,4000,16000
